"Source Path","Destination Path","Size (Bytes)","Size (Human)","Time (ms)","Status","Error Detail"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0362-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0362-17_1.JPG","3233154","3.08 MB","75.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0363-16.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0363-16.JPG","2863774","2.73 MB","10.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0363-16_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0363-16_1.JPG","2863774","2.73 MB","73.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0364-17.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0364-17.JPG","2802990","2.67 MB","9.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0364-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0364-17_1.JPG","2802990","2.67 MB","9.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0365-20.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0365-20.JPG","2787619","2.66 MB","72.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0365-20_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0365-20_1.JPG","2787619","2.66 MB","9.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0366-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0366-14.JPG","196684","192.07 KB","2.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0366-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0366-14_1.JPG","196684","192.07 KB","2.5","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0372-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0372-21.JPG","3937743","3.76 MB","75.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0372-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0372-21_1.JPG","3937743","3.76 MB","12.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0373-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0373-14.JPG","135546","132.37 KB","2.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0373-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0373-14_1.JPG","135546","132.37 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0374-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0374-21.JPG","2245906","2.14 MB","73.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0374-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0374-21_1.JPG","2245906","2.14 MB","7.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0375-17.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0375-17.JPG","2248064","2.14 MB","8.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0375-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0375-17_1.JPG","2248064","2.14 MB","73.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0377-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0377-21.JPG","2113097","2.02 MB","8.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0377-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0377-21_1.JPG","2113097","2.02 MB","8.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0378-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0378-21.JPG","1827550","1.74 MB","6.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0378-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0378-21_1.JPG","1827550","1.74 MB","73.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0379-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0379-21.JPG","1784429","1.70 MB","7.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0379-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0379-21_1.JPG","1784429","1.70 MB","6.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0380-1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0380-1.jpg","58684","57.31 KB","2.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0380-1_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0380-1_1.jpg","58684","57.31 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0382-21.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0382-21.JPG","2502230","2.39 MB","74.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0382-21_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0382-21_1.JPG","2502230","2.39 MB","8.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0384-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0384-14.JPG","61548","60.11 KB","2.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0384-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0384-14_1.JPG","61548","60.11 KB","1.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0385-17.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0385-17.JPG","2582960","2.46 MB","8.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0385-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0385-17_1.JPG","2582960","2.46 MB","69.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0386-17.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0386-17.JPG","2450519","2.34 MB","8.6","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0386-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0386-17_1.JPG","2450519","2.34 MB","8.6","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0387-10.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0387-10.JPG","140118","136.83 KB","2.0","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0387-10.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0387-10_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0387-10_1.JPG","140118","136.83 KB","1.4","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0387-10_1.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0388-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0388-14.JPG","146674","143.24 KB","1.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0388-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0388-14_1.JPG","146674","143.24 KB","2.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0389-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0389-14.JPG","152556","148.98 KB","1.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0389-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0389-14_1.JPG","152556","148.98 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0395-14.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0395-14.JPG","131443","128.36 KB","1.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0395-14_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0395-14_1.JPG","131443","128.36 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0396-10.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0396-10.JPG","144700","141.31 KB","1.7","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0396-10.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0396-10_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0396-10_1.JPG","144700","141.31 KB","1.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0396-10_1.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0397-10.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0397-10.JPG","146395","142.96 KB","1.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0397-10.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0397-10_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0397-10_1.JPG","146395","142.96 KB","1.3","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\IMG_0397-10_1.JPG'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0398-17.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0398-17.JPG","2148848","2.05 MB","6.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0398-17_1.JPG","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0398-17_1.JPG","2148848","2.05 MB","7.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0400-2.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0400-2.jpg","59235","57.85 KB","1.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0400-2_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0400-2_1.jpg","59235","57.85 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-13.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-13.jpg","151344","147.80 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-13_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-13_1.jpg","151344","147.80 KB","1.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-18.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-18.jpg","801504","782.72 KB","4.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-18_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0412-18_1.jpg","801504","782.72 KB","83.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0425-15.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0425-15.jpg","155904","152.25 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0425-15_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0425-15_1.jpg","155904","152.25 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0430-15.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0430-15.jpg","125294","122.36 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0430-15_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\IMG_0430-15_1.jpg","125294","122.36 KB","9.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 001.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 001.jpg","1689751","1.61 MB","6.5","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 001_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 001_1.jpg","1689751","1.61 MB","6.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 002.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 002.jpg","2444719","2.33 MB","72.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 002_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 002_1.jpg","2444719","2.33 MB","8.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 003-2.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 003-2.jpg","118452","115.68 KB","2.1","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\Picture 003-2.jpg'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 003-2_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 003-2_1.jpg","118452","115.68 KB","1.2","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\Picture 003-2_1.jpg'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 004.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 004.jpg","2628421","2.51 MB","8.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 004_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 004_1.jpg","2628421","2.51 MB","72.5","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 005.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 005.jpg","1881925","1.79 MB","7.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 005_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 005_1.jpg","1881925","1.79 MB","6.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 006.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 006.jpg","1902094","1.81 MB","71.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 006_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 006_1.jpg","1902094","1.81 MB","7.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 007.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 007.jpg","1596903","1.52 MB","6.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 007_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 007_1.jpg","1596903","1.52 MB","5.9","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 008-3.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 008-3.jpg","37289","36.42 KB","2.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 008-3_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 008-3_1.jpg","37289","36.42 KB","2.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009-4.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009-4.jpg","2853916","2.72 MB","65.6","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009-4_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009-4_1.jpg","2853916","2.72 MB","9.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009.jpg","98609","96.30 KB","2.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 009_1.jpg","98609","96.30 KB","2.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 010.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 010.jpg","2890553","2.76 MB","9.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 010_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 010_1.jpg","2890553","2.76 MB","9.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 011.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 011.jpg","2943466","2.81 MB","10.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 011_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 011_1.jpg","2943466","2.81 MB","69.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 012-2.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 012-2.jpg","71908","70.22 KB","1.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\Picture 012-2.jpg'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 012-2_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 012-2_1.jpg","71908","70.22 KB","1.1","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\All_Pictures (Old PC Scan)\\2006-12-23\\Picture 012-2_1.jpg'"
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 017-1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 017-1.jpg","40856","39.90 KB","1.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 017-1_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 017-1_1.jpg","40856","39.90 KB","1.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 018.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 018.jpg","3093299","2.95 MB","10.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 018_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 018_1.jpg","3093299","2.95 MB","74.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 020.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 020.jpg","2451395","2.34 MB","8.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 020_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 020_1.jpg","2451395","2.34 MB","8.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 021.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 021.jpg","1877752","1.79 MB","74.5","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 021_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 021_1.jpg","1877752","1.79 MB","7.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 022.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 022.jpg","1958342","1.87 MB","7.6","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 022_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 022_1.jpg","1958342","1.87 MB","7.2","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 023.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 023.jpg","1916452","1.83 MB","70.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 023_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 023_1.jpg","1916452","1.83 MB","6.7","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 024-1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 024-1.jpg","85003","83.01 KB","1.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 024-1_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 024-1_1.jpg","85003","83.01 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 025.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 025.jpg","2019639","1.93 MB","7.3","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 025_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 025_1.jpg","2019639","1.93 MB","68.8","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 026.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 026.jpg","1867001","1.78 MB","7.1","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 026_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 026_1.jpg","1867001","1.78 MB","7.5","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 027-1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 027-1.jpg","66176","64.62 KB","2.0","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 027-1_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 027-1_1.jpg","66176","64.62 KB","1.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 028-1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 028-1.jpg","62447","60.98 KB","1.4","Success",""
"T:/Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 028-1_1.jpg","B:/Temp_Working(T)\Picture_Backup\All_Pictures (Old PC Scan)\2006-12-23\Picture 028-1_1.jpg","62447","60.98 KB","1.9","Success",""
