"Source Path","Destination Path","Size (Bytes)","Size (Human)","Time (ms)","Status","Error Detail"
"T:/Picture_Backup\IMG_0108-11.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0108-11.JPG","3033715","2.89 MB","86.9","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0108-11.JPG'"
"T:/Picture_Backup\IMG_0108.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0108.JPG","2742005","2.61 MB","10.1","Success",""
"T:/Picture_Backup\IMG_0109-26.png","B:/Temp_Working(T)\Picture_Backup\IMG_0109-26.png","3408905","3.25 MB","57.7","Success",""
"T:/Picture_Backup\IMG_0109-30.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0109-30.JPG","3024337","2.88 MB","20.4","Success",""
"T:/Picture_Backup\IMG_0113-23.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0113-23.JPG","2855833","2.72 MB","9.8","Success",""
"T:/Picture_Backup\IMG_0117-10.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0117-10.JPG","3171187","3.02 MB","76.8","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0117-10.JPG'"
"T:/Picture_Backup\IMG_0117-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0117-10.png","2212561","2.11 MB","138.4","Success",""
"T:/Picture_Backup\IMG_0118-20.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0118-20.JPG","201267","196.55 KB","2.9","Success",""
"T:/Picture_Backup\IMG_0121-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0121-1.png","2659688","2.54 MB","12.0","Success",""
"T:/Picture_Backup\IMG_0130.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0130.JPG","2512824","2.40 MB","71.1","Success",""
"T:/Picture_Backup\IMG_0148-10.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0148-10.JPG","2896676","2.76 MB","10.0","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0148-10.JPG'"
"T:/Picture_Backup\IMG_0148-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0148-10.png","4905922","4.68 MB","78.9","Success",""
"T:/Picture_Backup\IMG_0152.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0152.JPG","2543425","2.43 MB","8.7","Success",""
"T:/Picture_Backup\IMG_0180-18.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0180-18.JPG","2403451","2.29 MB","8.6","Success",""
"T:/Picture_Backup\IMG_0193.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0193.JPG","2893445","2.76 MB","73.2","Success",""
"T:/Picture_Backup\IMG_0202 (2).png","B:/Temp_Working(T)\Picture_Backup\IMG_0202 (2).png","2055440","1.96 MB","7.8","Success",""
"T:/Picture_Backup\IMG_0214-15.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0214-15.JPG","415911","406.16 KB","2.9","Success",""
"T:/Picture_Backup\IMG_0214-15.png","B:/Temp_Working(T)\Picture_Backup\IMG_0214-15.png","2899244","2.76 MB","73.4","Success",""
"T:/Picture_Backup\IMG_0217-18.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0217-18.JPG","4992133","4.76 MB","15.3","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0217-18.JPG'"
"T:/Picture_Backup\IMG_0219-25.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0219-25.JPG","2060499","1.97 MB","7.7","Success",""
"T:/Picture_Backup\IMG_0221.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0221.JPG","1713129","1.63 MB","150.9","Success",""
"T:/Picture_Backup\IMG_0253-20.png","B:/Temp_Working(T)\Picture_Backup\IMG_0253-20.png","81065","79.17 KB","2.7","Success",""
"T:/Picture_Backup\IMG_0265-29.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0265-29.jpg","3146077","3.00 MB","11.3","Success",""
"T:/Picture_Backup\IMG_0265-29.png","B:/Temp_Working(T)\Picture_Backup\IMG_0265-29.png","1496845","1.43 MB","6.4","Success",""
"T:/Picture_Backup\IMG_0269-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0269-1.png","2330079","2.22 MB","73.3","Success",""
"T:/Picture_Backup\IMG_0272-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0272-10.png","966918","944.26 KB","16.0","Success",""
"T:/Picture_Backup\IMG_0276-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0276-1.png","1335257","1.27 MB","6.6","Success",""
"T:/Picture_Backup\IMG_0285-11.png","B:/Temp_Working(T)\Picture_Backup\IMG_0285-11.png","1297055","1.24 MB","5.5","Success",""
"T:/Picture_Backup\IMG_0298-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0298-1.png","1126672","1.07 MB","5.0","Success",""
"T:/Picture_Backup\IMG_0298-2.png","B:/Temp_Working(T)\Picture_Backup\IMG_0298-2.png","670433","654.72 KB","73.5","Success",""
"T:/Picture_Backup\IMG_0305-13.png","B:/Temp_Working(T)\Picture_Backup\IMG_0305-13.png","1140009","1.09 MB","6.2","Success",""
"T:/Picture_Backup\IMG_0306-14.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0306-14.JPG","1311557","1.25 MB","5.7","Success",""
"T:/Picture_Backup\IMG_0306-14.png","B:/Temp_Working(T)\Picture_Backup\IMG_0306-14.png","2482487","2.37 MB","8.7","Success",""
"T:/Picture_Backup\IMG_0309-1.png","B:/Temp_Working(T)\Picture_Backup\IMG_0309-1.png","2982613","2.84 MB","72.1","Success",""
"T:/Picture_Backup\IMG_0313-12.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0313-12.JPG","103735","101.30 KB","2.4","Success",""
"T:/Picture_Backup\IMG_0319-13.png","B:/Temp_Working(T)\Picture_Backup\IMG_0319-13.png","2017572","1.92 MB","7.9","Success",""
"T:/Picture_Backup\IMG_0334-28.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0334-28.JPG","35583","34.75 KB","2.4","Success",""
"T:/Picture_Backup\IMG_0348-21.png","B:/Temp_Working(T)\Picture_Backup\IMG_0348-21.png","5245963","5.00 MB","77.6","Success",""
"T:/Picture_Backup\IMG_0379-17.png","B:/Temp_Working(T)\Picture_Backup\IMG_0379-17.png","5521331","5.27 MB","16.3","Success",""
"T:/Picture_Backup\IMG_0398-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0398-10.png","392527","383.33 KB","94.7","Success",""
"T:/Picture_Backup\IMG_0423-15.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0423-15.JPG","2750523","2.62 MB","76.3","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0423-15.JPG'"
"T:/Picture_Backup\IMG_0423-15.png","B:/Temp_Working(T)\Picture_Backup\IMG_0423-15.png","1936844","1.85 MB","7.4","Success",""
"T:/Picture_Backup\IMG_0429-10.png","B:/Temp_Working(T)\Picture_Backup\IMG_0429-10.png","509024","497.09 KB","4.0","Success",""
"T:/Picture_Backup\IMG_0440-9.JPG","B:/Temp_Working(T)\Picture_Backup\IMG_0440-9.JPG","2788123","2.66 MB","75.1","Failed","PermissionError: [WinError 5] Access is denied: '\\\\?\\T:\\Picture_Backup\\IMG_0440-9.JPG'"
"T:/Picture_Backup\IMG_0453.jpg","B:/Temp_Working(T)\Picture_Backup\IMG_0453.jpg","1346173","1.28 MB","5.8","Success",""
